recording,group,fish1,rec_id1,fish2,rec_id2,winner,exp1,exp2,comment
“2018-11-23-09:57”,1,1,3,2,199,2,1,1,
“2018-11-26-10:18”,1,3,617,4,619,3,1,1,
“2018-11-28-09:57”,1,1,412,3,427,3,2,2,
“2018-11-29-09:57”,1,2,175,4,176,2,2,2,
“2018-12-03-09:59”,1,1,6,4,246,4,3,3,
“2018-12-04-09:59”,1,2,11,3,14,3,3,3,
“2018-12-11-09:56”,2,1,4,2,5,1,1,1,
“2018-12-12-09:54”,2,3,3,4,113,3,1,1,
“2018-12-14-09:58”,2,1,6,3,5,3,2,2,
“2018-12-17-09:57”,2,2,289,4,312,4,2,2,
“2018-12-19-10:02”,2,1,7,4,6,1,3,3,
“2018-12-20-09:57”,2,2,4,3,5,3,3,3,
“2019-11-25-09_59”,3,1,10,2,6,1,1,1,
“2019-11-26-10_00”,3,3,4,4,3,4,1,1,
“2019-11-27-10_00”,3,5,1,6,6,5,1,1,
“2019-11-28-09_58”,3,1,3,3,1,1,2,2,
“2019-11-29-09_59”,3,2,0,4,11,4,2,2,
“2019-12-02-10_00”,3,3,3,5,0,3,3,2,
“2019-12-03-10_01”,3,1,3,6,4,1,3,2,
“2019-12-04-10_00”,3,2,8,3,11,3,3,4,
“2019-12-05-10_00”,3,1,,5,,,4,3,UNSORTED
“2019-12-06-10_00”,3,4,1,6,2,4,3,3,
“2019-12-09-10_00”,3,2,9,5,5,5,4,4,
“2019-12-10-10_00”,3,3,3,6,2,3,5,4,
“2019-12-11-10_00”,3,1,1,4,13,4,5,4,
“2019-12-12-10_00”,3,2,3,6,5,2,5,5,
“2019-12-16-10_00”,3,4,7,5,1,4,5,5,
“2020-03-09-10_04”,4,1,,2,,,1,1,failed
“2020-03-10-09_56”,4,3,,4,,,1,1,failed
“2020-03-11-09_56”,4,1,,5,,,2,1,failed
“2020-03-12-09_58”,4,2,,3,,,2,2,failed
“2020-03-13-10_00”,4,4,1,5,0,5,2,2,
“2020-03-16-10_00”,4,1,2,3,3,3,3,3,
“2020-03-17-11_17”,4,2,,4,,,3,3,UNSORTED
“2020-03-18-10_34”,4,3,4,5,0,-1,4,3,draw
“2020-03-19-10_00”,4,1,0,4,1,1,4,4,
“2020-03-20-10_00”,4,2,1,5,0,5,4,4,
“2020-03-23-09_58”,4,1,2,2,0,-1,5,5,draw
“2020-03-24-10_00”,4,3,1,4,2,-1,5,5,win was 3
“2020-03-25-10_00”,4,1,0,5,1,-1,6,5,draw
“2020-03-31-09_59”,4,2,3,3,0,-1,6,6,win was 3
“2020-05-11-10_00”,5,1,3,2,4,1,1,1,
“2020-05-12-10_00”,5,3,6,5,7,5,1,1,
“2020-05-13-10_00”,5,2,7,4,4,4,2,1,
“2020-05-14-10_00”,5,1,5,5,4,5,2,2,
“2020-05-15-10_00”,5,3,19,4,18,4,2,2,
“2020-05-18-10_00”,5,2,3,3,6,2,3,3,
“2020-05-19-10_00”,5,4,7,5,6,5,3,3,
“2020-05-20-10_00”,5,1,,3,,-1,3,4,UNSORTED
“2020-05-21-10_00”,5,2,1420,5,1434,5,4,4,small df
“2020-05-25-10_00”,5,1,19,4,30,4,4,4,
“2020-05-27-10_00”,6,1,17,3,10,3,1,1,
“2020-05-28-10_00”,6,2,7,4,12,2,1,1,
“2020-05-29-10_00”,6,3,12,5,10,5,2,1,
“2020-06-02-10_00”,6,1,7,4,8,1,2,2,
“2020-06-03-10_10”,6,2,5,5,14,5,2,2,
“2020-06-04-10_00”,6,3,6,4,7,3,3,3,
“2020-06-05-10_00”,6,1,14,2,10,2,3,3,
“2020-06-08-10_00”,6,3,0,5,4,-1,4,3,repeat draw winner set to -1
“2020-06-09-10_00”,6,2,12,3,10,3,4,5,
“2020-06-10-10_00”,6,1,8,5,5,5,4,4,
“2020-06-11-10_00”,6,4,13,5,10,5,4,5,
